Time,M5*8,M5*10,M5*12,M5*16,M6*8,M6*10,M6*12,M6*16,return,etc
2025/02/28,0,3,0,0,0,0,0,0,0,0
2025/03/01,0,3,0,0,0,0,0,0,0,0
2025/03/02,0,3,0,0,0,0,0,0,0,0
2025/03/03,0,3,0,0,0,0,0,0,0,0
2025/03/04,0,3,0,0,0,0,0,0,0,0
2025/03/05,0,2,0,0,0,0,0,0,0,0
2025/03/06,0,3,0,0,0,0,0,0,0,0
2025/03/07,0,3,0,0,0,0,0,0,0,0
2025/03/08,0,3,0,0,0,0,0,0,0,0
2025/03/09,0,3,0,0,0,0,0,0,0,0
2025/03/10,0,3,0,0,0,0,0,0,0,0
2025/03/11,0,3,0,0,0,0,0,0,0,0
2025/03/12,0,3,0,0,0,0,0,0,0,0
2025/03/13,0,2,0,0,0,0,0,0,0,0
2025/03/14,0,3,0,0,0,0,0,0,0,0
2025/03/15,0,3,0,0,0,0,0,0,0,0
2025/03/16,0,3,0,0,0,0,0,0,0,0
2025/03/17,0,3,0,0,0,0,0,0,0,0
2025/03/18,0,3,0,0,0,0,0,0,0,0
2025/03/19,0,3,0,0,0,0,0,0,0,0
2025/03/20,0,3,0,0,0,0,0,0,0,0
2025/03/21,0,3,0,0,0,0,0,0,0,0
2025/03/22,0,2,0,0,0,0,0,0,0,0
2025/03/23,0,3,0,0,0,0,0,0,0,0
2025/03/24,0,3,0,0,0,0,0,0,0,0
2025/03/25,0,3,0,0,0,0,0,0,0,0
2025/03/26,0,3,0,0,0,0,0,0,0,0
2025/03/27,0,3,0,0,0,0,0,0,0,0
2025/03/28,0,3,0,0,0,0,0,0,0,0
2025/01/30,0,11,0,0,0,0,0,0,0,0
