Time,M5*8,M5*10,M5*12,M5*16,M6*8,M6*10,M6*12,M6*16,return,etc
2025/02/11/14/35,0,0,0,0,0,0,0,0,0,0
2025/02/11/14/40,0,0,0,0,0,0,0,0,0,0
2025/02/11/14/45,0,0,0,0,0,0,0,0,0,0
2025/02/11/14/50,0,0,0,0,0,0,0,0,0,0
2025/02/11/14/55,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/00,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/05,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/10,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/15,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/20,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/25,0,0,0,0,0,0,0,0,0,3
2025/02/11/15/30,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/35,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/40,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/45,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/50,0,0,0,0,0,0,0,0,0,0
2025/02/11/15/55,0,0,0,0,0,0,0,0,0,0
2025/02/11/16/00,0,0,0,0,0,0,0,0,0,0
2025/02/11/16/05,0,0,0,0,0,0,0,0,0,0
2025/02/11/16/10,0,0,0,0,0,0,0,0,12,0
2025/02/11/16/15,0,0,0,0,0,0,0,0,11,0
2025/02/11/16/20,0,0,0,0,0,0,0,0,0,0
2025/02/11/16/25,0,0,0,0,0,0,0,0,1,0
2025/02/11/16/30,0,0,0,0,0,0,0,0,0,0
2025/02/11/16/35,0,0,0,0,0,0,0,0,36,0
2025/02/11/16/40,0,0,0,0,0,0,0,0,28,0
2025/02/11/16/45,0,0,0,0,0,0,0,0,14,0
2025/02/11/16/50,0,0,0,0,0,0,0,0,0,0
2025/02/11/16/55,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/00,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/05,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/10,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/15,0,0,0,0,0,0,0,0,2,0
2025/02/11/17/20,0,0,0,0,0,0,0,0,0,6
2025/02/11/17/25,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/30,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/35,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/40,0,0,0,0,0,0,0,0,0,0
2025/02/11/17/45,0,0,0,0,0,0,0,0,0,0
2025/02/11/19/55,0,0,0,0,0,0,0,0,0,0
2025/02/11/20/00,0,0,0,0,0,0,0,0,0,0
2025/02/11/20/05,0,0,0,0,0,0,0,0,0,0
2025/02/11/20/10,0,0,0,0,0,0,0,0,0,0
2025/02/11/20/15,0,0,0,0,0,0,0,0,0,0
2025/02/11/20/20,0,0,0,0,0,0,0,0,0,0
2025/02/11/20/25,0,0,0,0,0,0,0,0,0,0
2025/02/09/15/55,0,0,0,0,0,0,0,0,0,0
2025/02/09/16/00,0,0,0,0,0,0,0,0,0,0
2025/02/09/16/05,0,0,0,0,0,0,0,0,0,0
2025/02/09/16/45,0,0,0,0,0,0,0,0,0,0
2025/02/09/16/50,0,0,0,0,0,0,0,0,0,0
2025/02/09/16/55,0,0,0,0,0,0,0,0,0,0
